
Date: 2019-12-24
NbTotalBlocks: 137
FirstBlocksSkipped: 48
NbBlocks: 89



BlockID;RawBlockSize(B);JsonBlockSize(B);NbTxStoredInBlock
48;11048;18005;1
49;11048;18009;1
50;10920;17861;1
51;10934;17873;1
52;10915;17853;1
53;19946;33061;2
54;10910;17848;1
55;11144;18439;1
56;11202;18515;1
57;11070;20076;1
58;11298;19364;1
59;11265;18442;1
60;11260;18402;1
61;11257;18398;1
62;11234;18386;1
63;11015;18094;1
64;10960;18012;1
65;10946;17996;1
66;10953;18004;1
67;10953;18008;1
68;10962;18016;1
69;10996;18064;1
70;10984;18052;1
71;10991;18064;1
72;10997;18064;1
73;11003;18076;1
74;11003;18076;1
75;11013;18088;1
76;11046;18132;1
77;11037;18120;1
78;11045;18132;1
79;11045;18132;1
80;11054;18144;1
81;11056;18148;1
82;11062;18152;1
83;11097;18196;1
84;11089;18184;1
85;11094;18196;1
86;11130;18240;1
87;11118;18224;1
88;11123;18236;1
89;11128;18240;1
90;11137;18252;1
91;11171;18296;1
92;11192;18320;1
93;11180;18312;1
94;11189;18324;1
95;11223;18368;1
96;11236;18390;1
97;11097;18206;1
98;11210;18352;1
99;11218;18356;1
100;11228;18373;1
101;11236;18387;1
102;11178;18315;1
103;11229;18370;1
104;11231;18382;1
105;11242;18390;1
106;11243;18390;1
107;11249;18402;1
108;11285;18446;1
109;11275;18438;1
110;11282;18446;1
111;11314;18486;1
112;11306;18478;1
113;11311;18490;1
114;11315;18486;1
115;11322;18502;1
116;11358;18546;1
117;11345;18530;1
118;11353;18542;1
119;11353;18542;1
120;11363;18554;1
121;11395;18602;1
122;11389;18582;1
123;11396;18598;1
124;11396;18602;1
125;11404;18606;1
126;11438;18654;1
127;11430;18642;1
128;11437;18654;1
129;11437;18654;1
130;11448;18662;1
131;11481;18706;1
132;11471;18698;1
133;11479;18706;1
134;11076;18013;1
135;10920;17805;1
136;10910;17789;1
